State,Year,Type_code,Type,Gender,Age_group,Total
Madhya Pradesh,2001,Causes,Failure in Examination,Female,0-14,14
Madhya Pradesh,2001,Causes,Other Causes (Please Specity),Female,0-14,17
Madhya Pradesh,2001,Causes,Divorce,Female,0-14,0
Madhya Pradesh,2001,Causes,Drug Abuse/Addiction,Female,0-14,0
Madhya Pradesh,2001,Causes,Love Affairs,Female,0-14,2
Madhya Pradesh,2001,Causes,Suspected/Illicit Relation,Female,0-14,0
Madhya Pradesh,2001,Causes,Poverty,Female,0-14,0
Madhya Pradesh,2001,Causes,Bankruptcy or Sudden change in Economic,Female,0-14,0
Madhya Pradesh,2001,Causes,Cancer,Female,0-14,0
Madhya Pradesh,2001,Causes,Family Problems,Female,0-14,8
Madhya Pradesh,2001,Causes,Paralysis,Female,0-14,1
Madhya Pradesh,2001,Causes,Cancellation/Non-Settlement of Marriage,Female,0-14,1
Madhya Pradesh,2001,Causes,Professional/Career Problem,Female,0-14,0
Madhya Pradesh,2001,Causes,Physical Abuse (Rape/Incest Etc.),Female,0-14,3
Madhya Pradesh,2001,Causes,Illegitimate Pregnancy,Female,0-14,0
Madhya Pradesh,2001,Causes,Ideological Causes/Hero Worshipping,Female,0-14,0
Madhya Pradesh,2001,Causes,Illness (Aids/STD),Female,0-14,0
Madhya Pradesh,2001,Causes,Fall in Social Reputation,Female,0-14,0
Madhya Pradesh,2001,Causes,Property Dispute,Female,0-14,0
Madhya Pradesh,2001,Causes,Not having Children(Barrenness/Impotency,Female,0-14,0
Madhya Pradesh,2001,Causes,Other Prolonged Illness,Female,0-14,4
Madhya Pradesh,2001,Causes,Unemployment,Female,0-14,0
Madhya Pradesh,2001,Causes,Causes Not known,Female,0-14,60
Madhya Pradesh,2001,Causes,Death of Dear Person,Female,0-14,3
Madhya Pradesh,2001,Causes,Dowry Dispute,Female,0-14,0
Madhya Pradesh,2001,Causes,Bankruptcy or Sudden change in Economic,Male,0-14,0
Madhya Pradesh,2001,Causes,Dowry Dispute,Male,0-14,0
Madhya Pradesh,2001,Causes,Insanity/Mental Illness,Male,0-14,6
Madhya Pradesh,2001,Causes,Cancer,Male,0-14,0
